Sub	Trial	Color	Period	Session	Path
55	2	w	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\55_2.bdf
55	3	w	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\55_3.bdf
56	1	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\56_1.bdf
56	2	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\56_2.bdf
56	3	d	1	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL1_7AM\56_3.bdf
56	1	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\56_1.bdf
56	2	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\56_2.bdf
56	3	d	2	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL2_11AM\56_3.bdf
56	1	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\56_1.bdf
56	2	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\56_2.bdf
56	3	d	3	1	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_1\TUESDAY_06_05_12\TRIAL3_3PM\56_3.bdf
56	1	r	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\56_1.bdf
56	2	r	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\56_2.bdf
56	3	r	1	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL1_7AM\56_3.bdf
56	1	r	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\56_1.bdf
56	2	r	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\56_2.bdf
56	3	r	2	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL2_11AM\56_3.bdf
56	1	r	3	2	C:\LRC\2012_FALL\EEG_ONR_DAY\WEEK_2\TUESDAY_6_12_12\TRIAL3_3PM\56_1.bdf
